id,title,description,images,timestamp
15,পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অর্ধবার্ষিক পরীক্ষা ষষ্ঠ শ্রেণির ফলাফল প্রকাশ,পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অর্ধবার্ষিক পরীক্ষা ষষ্ঠ শ্রেণির ফলাফল প্রকাশ 30/07/2025 ইং,"https://i.ibb.co/Lsq7JZZ/3cf443881f8c.jpg,https://i.ibb.co/VYkbYCwH/bdf30f05e01a.jpg",2025-08-23 09:41:43.261619
21,"বিজ্ঞান মেলা-২০২৫,উপজেলা পর্যায়","বিজ্ঞান মেলা-২০২৫,উপজেলা পর্যায়, পলাশবাড়ীয়া মাধ্যমিক বিদ্যালয়, মহম্মদপির,মাগুরা",https://i.ibb.co/7NS1C13M/3ef40170a103.jpg,2025-08-23 09:41:43.261628
18,পলাশবাড়ীয়া মাধ্যমিক বিদ্যালয় চারা গাছ  বিতরণ,পলাশবাড়ীয়া মাধ্যমিক বিদ্যালয় চারা গাছ  বিতরণ করেন কৃষি কর্মকত্তা আঃ হান্নান জবান ফরিদ আহমেদ প্রধান শিক্ষক পলাশবাড়িয়া মাধ্যমিক বিদ্যালয়,"https://i.ibb.co/Q3VgK9s7/e5ebcc4c1d67.jpg,https://i.ibb.co/whHc35jD/bb8213403c65.jpg,https://i.ibb.co/1YL5qs1L/62bf3ded0cd5.jpg",2025-08-23 09:41:43.261625
20,পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অর্ধ বার্ষিক পরীক্ষা সপ্তম শ্রেণীর ফলাফল প্রকাশ,"পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অভিভাবক সমাবেশ

পলাশবাড়িয়া মাধ্যমিক বিদ্যালয়ে আজ এক বিশেষ অভিভাবক সমাবেশ অনুষ্ঠিত হয়। সমাবেশে প্রধান অতিথি হিসেবে উপস্থিত ছিলেন বিদ্যালয়ের সম্মানিত প্রধান শিক্ষক মো. ফারিদ আহমেদ। তিনি শিক্ষার্থীদের শিক্ষা, শৃঙ্খলা, এবং ভবিষ্যৎ গঠন নিয়ে গুরুত্বপূর্ণ বক্তব্য প্রদান করেন।

তিনি অভিভাবকদের প্রতি আহ্বান জানান— সন্তানদের পড়াশোনার প্রতি আরও মনোযোগী করে তোলার জন্য বাড়িতে সময় দেওয়ার পাশাপাশি বিদ্যালয়ের সঙ্গে নিয়মিত যোগাযোগ রাখতে।

এদিন সমাবেশে অর্ধ-বার্ষিক পরীক্ষার ফলাফল প্রকাশ করা হয় এবং ভালো ফলাফলকারী শিক্ষার্থীদের অভিনন্দন জানানো হয়। শিক্ষার্থীদের সামগ্রিক উন্নয়নের জন্য শিক্ষক, অভিভাবক ও বিদ্যালয় প্রশাসনের সম্মিলিত ভূমিকার ওপর জোর দেওয়া হয়।

এই অভিভাবক সমাবেশ শিক্ষার্থী-অভিভাবক-শিক্ষক ত্রিমুখী সমন্বয়ের একটি অনন্য দৃষ্টান্ত হিসেবে বিবেচিত হয়েছে।","https://i.ibb.co/rGhK14pf/0f01d374ce57.jpg,https://i.ibb.co/s9DM3Dxv/42e894d923da.jpg",2025-08-23 09:41:43.261624
16,উপজেলা পর্যায়ে কিশোর সাংস্কৃতিক ক্রিয়া প্রতিযোগিতায় দেওয়ালিকা ১ম স্থান প্রজেক্ট ১ম স্থান  ,উপজেলা পর্যায়ে কিশোর সাংস্কৃতিক ক্রিয়া প্রতিযোগিতায় দেওয়ালিকা ১ম স্থান প্রজেক্ট ১ম স্থান দলীয় নৃত্যে ১ম একক নৃত্য ১ম স্থান অধিকার করে পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় মহা- মাগুরা,"https://i.ibb.co/cs3JChL/e0622b9606e5.jpg,https://i.ibb.co/1G0bd5WR/55272b21aa43.jpg,https://i.ibb.co/LDDwwrH0/bd1f184f1acc.jpg",2025-08-23 09:41:43.261621
22,মাইলস্টোন স্কুল এন্ড কলেজের শিক্ষার্থীদের জন্য দোয়া অনুষ্ঠান,বিমান বিধ্বস্তে উত্তরা মাইলস্টোন স্কুল এন্ড কলেজের শিক্ষার্থীদের জন্য দোয়া অনুষ্ঠান পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় মোহাম্মদ পুর মাগুরা,"https://i.ibb.co/PGJnK8Q3/48526e452cb9.jpg,https://i.ibb.co/TQrPYc4/eb7f2e20df3c.jpg,https://i.ibb.co/S4GgztMH/a15f12928452.jpg",2025-08-23 09:41:43.261625
17,পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অভিভাবক সমাবেশ,"পলাশবাড়িয়া মাধ্যমিক বিদ্যালয় অভিভাবক সমাবেশ

পলাশবাড়িয়া মাধ্যমিক বিদ্যালয়ে আজ এক বিশেষ অভিভাবক সমাবেশ অনুষ্ঠিত হয়। সমাবেশে প্রধান অতিথি হিসেবে উপস্থিত ছিলেন বিদ্যালয়ের সম্মানিত প্রধান শিক্ষক মো. ফারিদ আহমেদ। তিনি শিক্ষার্থীদের শিক্ষা, শৃঙ্খলা, এবং ভবিষ্যৎ গঠন নিয়ে গুরুত্বপূর্ণ বক্তব্য প্রদান করেন।

তিনি অভিভাবকদের প্রতি আহ্বান জানান— সন্তানদের পড়াশোনার প্রতি আরও মনোযোগী করে তোলার জন্য বাড়িতে সময় দেওয়ার পাশাপাশি বিদ্যালয়ের সঙ্গে নিয়মিত যোগাযোগ রাখতে।

এদিন সমাবেশে অর্ধ-বার্ষিক পরীক্ষার ফলাফল প্রকাশ করা হয় এবং ভালো ফলাফলকারী শিক্ষার্থীদের অভিনন্দন জানানো হয়। শিক্ষার্থীদের সামগ্রিক উন্নয়নের জন্য শিক্ষক, অভিভাবক ও বিদ্যালয় প্রশাসনের সম্মিলিত ভূমিকার ওপর জোর দেওয়া হয়।

এই অভিভাবক সমাবেশ শিক্ষার্থী-অভিভাবক-শিক্ষক ত্রিমুখী সমন্বয়ের একটি অনন্য দৃষ্টান্ত হিসেবে বিবেচিত হয়েছে।","https://i.ibb.co/vxS9WMXr/e27036e6d7b4.jpg,https://i.ibb.co/svjM89RN/7d15b70821fb.jpg,https://i.ibb.co/DH3mnJ9x/fc6dd0b0a1db.jpg,https://i.ibb.co/ds3KZtxm/df2d1fb826e0.jpg",2025-08-23 09:41:43.261623
26,হীরক জয়ন্তী ,হীরক জয়ন্তী ,https://i.ibb.co/TB4mmR91/0319afbc8c22.jpg,2025-09-06 10:09:08.932828
28,সমাবেশ,"সমাবেশ , পলাশবাড়ীয়া মাধ্যমিক বিদ্যালয়, মহম্মদপুর, মাগুরা","https://i.ibb.co/kZRG6vB/bdbb65226de3.jpg,https://i.ibb.co/7JXPJ7mv/6b3395fe03db.jpg,https://i.ibb.co/KxF9GJYS/dd080f8b6a2e.jpg",2025-08-23 09:41:43.261627
37,এস এস সি ২০২৫ সালের সাধারণ বৃত্তি প্রাপ্ত শিক্ষার্থী,নাম- রিমা খানম,https://i.ibb.co/pj25CkwR/74e608ab5ea7.jpg,2025-09-10 05:20:31.834426
23,অর্জন,"পলাশবাড়ীয়া মাধ্যমিক বিদ্যালয়, মহম্মদপির,মাগুরা",https://i.ibb.co/wrLjvZcr/df0c523cd39d.jpg,2025-08-23 09:41:43.261626
